Date,Open,High,Low,Close,Adj Close,Volume
2022-02-28,62.900002,63.590000,62.889999,63.570000,63.570000,436500
2022-03-01,62.970001,63.169998,62.689999,62.759998,62.759998,380600
2022-03-02,63.070000,63.330002,62.980000,63.310001,63.310001,253400
2022-03-03,63.720001,64.940002,63.500000,63.590000,63.590000,226200
2022-03-04,63.500000,64.580002,63.040001,63.349998,63.349998,515400
2022-03-07,62.099998,62.790001,61.240002,61.580002,61.580002,302200
2022-03-08,60.340000,61.689999,59.939999,60.720001,60.720001,329800
2022-03-09,63.750000,63.750000,62.340000,63.099998,63.099998,382600
2022-03-10,62.150002,63.250000,62.150002,62.520000,62.520000,129500
2022-03-11,62.689999,63.250000,62.330002,62.480000,62.480000,99800
2022-03-14,61.389999,62.099998,61.200001,61.270000,61.270000,218000
2022-03-14,61.389999,62.099998,61.200001,61.270000,61.270000,217962
